@relation 'completeData-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-14,16,18,20,22,24-68,70-71-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute mway_dist numeric
@attribute police_dis numeric
@attribute income numeric
@attribute density numeric
@attribute age numeric
@attribute unp_rate numeric
@attribute com_dens numeric
@attribute n_freq_attack {0,1}

@data
372.99804,280.603105,36,0.0814,25,11,20,0
777.961293,338.316416,58,21.2763,30,9,28,0
1707.5786,315.658541,64,0,44,3,9,0
1933.918166,307.754179,34,8.5793,47,16,28,0
1284.404452,659.390195,44,0.0426,27,9,9,0
1161.4855,439.911623,58,11.423,49,3,47,0
3417.309729,162.533822,32,6.631,65,14,75,0
1843.722696,458.509749,72,7.804,43,2,9,0
2067.385048,81.776832,44,14.5963,44,14,9,0
1390.759446,736.516599,42,3.5005,48,16,18,0
3784.577483,647.733891,52,18.7083,65,12,18,0
3011.812381,382.647258,48,0,62,13,28,0
765.838055,831.463581,64,7.9596,45,2,65,0
2939.661625,365.224278,56,1.505,47,9,9,0
3246.498275,257.142282,28,2.343,57,18,65,0
3019.810016,177.634397,44,0,55,12,47,0
2958.270424,377.986155,48,4.6701,62,13,28,0
3019.810016,177.634397,44,0,55,12,47,0
3280.033799,547.337232,40,30.9691,49,18,28,0
2874.325148,263.361836,34,6.6527,59,13,56,0
975.999952,565.104017,38,33.6238,36,9,28,0
1748.903181,448.74363,38,4.8337,50,13,18,0
676.242304,851.81637,60,4.0355,30,7,18,0
1118.476874,487.347925,28,0,34,20,9,0
1697.093983,445.177365,28,0.0207,47,17,9,0
848.027596,892.123233,44,35.9334,42,10,28,0
2111.364957,447.477916,54,2.6551,48,8,28,0
2513.535596,461.082034,56,0.5166,55,2,18,0
1325.992235,465.102231,34,7.0984,46,15,9,0
1862.942662,305.826906,28,4.8337,45,16,28,0
2939.661625,365.224278,56,1.505,47,9,9,0
614.486095,127.440741,40,1.0554,33,13,18,0
1722.307365,691.480773,36,0.0271,51,12,18,0
2761.790695,1368.810983,64,0.1389,54,5,37,0
1973.829976,1074.77237,70,17.6108,41,2,9,0
1337.241958,848.463898,60,4.019,41,2,9,0
3034.896486,109.637605,26,1.1868,59,18,56,0
986.572655,555.726971,38,33.6238,40,12,28,0
1096.460206,1139.082017,40,3.5755,55,17,9,0
1337.241958,848.463898,60,4.019,41,2,9,0
1025.79578,393.170231,50,23.4881,34,12,28,0
2513.535596,461.082034,56,0.5166,55,2,18,0
2448.217018,486.131169,60,4.1595,45,2,18,0
2342.680322,648.531696,64,15.4605,44,2,37,0
