address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Alameda Das Linhas De Torres 111a Lisbon,BARCLAYS BANK,BB13,-9.15728,38.76463,Lumiar,12,707.4746037,694.2815359,42,6.5668,28,12,9,0,0,4,2,1,3,2,0
Avenida Fontes Pereira De Melo 16 Lisbon,BARCLAYS BANK,BB14,-9.14761,38.72942,Avenidas Novas,5,2218.506296,107.090371,54,12.9924,53,9,28,0,0,5,2,4,2,4,0
Avenida Colegio Militar 37-F Lisbon,BARCLAYS BANK,BB15,-9.1877,38.75377,Carnide,10,160.5489831,152.8397574,36,0,25,11,20,0,0,3,1,1,3,3,0
Avenida 5 De Outubro 73 Lisbon,BARCLAYS BANK,BB17,-9.14771,38.73614,Avenidas Novas,5,1745.242499,441.3842298,40,17.8596,47,12,18,0,0,4,3,3,3,2,0
Avenida Dom Joao Ii 1.14.02C Lisbon,BARCLAYS BANK,BB18,-9.09822,38.76605,Parque das Na,16,2293.127247,981.1890764,50,0.1282,36,8,47,0,0,5,1,2,2,5,0
Avenida Da Igreja 20 Lisbon,BARCLAYS BANK,BB19,-9.14166,38.75404,Alvalade,2,1016.86484,657.0320221,60,15.4405,35,7,37,0,0,6,2,2,2,4,0
Rua Sao Marcal 78-80 Lisbon,BARCLAYS BANK,BB20,-9.15093,38.71479,Estrela,11,2114.734366,461.4651075,48,25.8703,49,8,18,0,0,5,3,4,2,2,0
Avenida Colegio Militar 37-F Lisbon,BARCLAYS BANK,BB21,-9.1877,38.75377,Carnide,10,160.5489831,152.8397574,36,0,25,11,20,0,0,3,1,1,3,3,0
Av. Antonio Augusto De Aguiar 132 Lisbon,BANCO BIC PORTUGUES,BP01,-9.15346,38.73413,Campolide,9,1496.138891,416.9309446,50,5.2909,47,13,18,0,0,5,1,3,3,2,0
Rua Dom Joao V 30a Lisbon,BANCO BIC PORTUGUES,BP02,-9.16044,38.72083,Campo de Ourique,8,1120.655794,406.7810424,46,19.9838,27,7,18,0,0,4,3,1,2,2,0
Avenida De Roma 36C Lisbon,BANCO BIC PORTUGUES,BP03,-9.14018,38.74641,Alvalade,2,1842.102112,671.5791908,44,14.3092,42,8,37,0,0,4,2,3,2,4,0
Avenida Da Igreja 17 D Lisbon,BANCO BIC PORTUGUES,BP04,-9.14134,38.75381,Alvalade,2,1052.907006,657.7240246,60,12.5128,35,7,37,0,0,6,2,2,2,4,0
Avenida Dom Joao Ii 1.04.01 Lisbon,BANCO BIC PORTUGUES,BP05,-9.09822,38.76605,Parque das Na,16,2293.127247,981.1890764,50,0.1282,36,8,47,0,0,5,1,2,2,5,0
Avenida Da Republica 53 Lisbon,BANCO BIC PORTUGUES,BP06,-9.14642,38.73879,Avenidas Novas,5,1720.549959,344.0881715,42,13.4026,49,14,18,0,0,4,2,4,4,2,0
Avenida Da Liberdade 245 Lisbon,BANCO BIC PORTUGUES,BP07,-9.1492,38.72352,Santo Antonio,19,2084.73251,122.3616269,54,0.2537,47,8,18,0,0,5,1,3,2,2,0
Avenida Antonio Augusto De Aguiar 132 Lisbon,BANCO BIC PORTUGUES,BP08,-9.15346,38.73413,Campolide,9,1496.138891,416.9309446,50,5.2909,47,13,18,0,0,5,1,3,3,2,0
Rua Tomas Da Anunciacao 48 Lisbon,BANCO BIC PORTUGUES,BP09,-9.16552,38.71671,Campo de Ourique,8,926.5807547,267.3358116,58,23.883,25,7,37,0,0,6,3,1,2,4,0
Estrada Das Garridas 12 Lisbon,BANCO BIC PORTUGUES,BP10,-9.20036,38.74579,Benfica,7,703.1595749,102.0221083,40,1.5257,43,9,9,0,0,4,1,3,2,2,0
Avenida Fontes Pereira De Melo 34 Lisbon,BANCO BIC PORTUGUES,BP11,-9.14666,38.73052,Avenidas Novas,5,2196.549493,246.3602984,50,3.43,55,8,56,0,0,5,1,4,2,5,0
Rua Junqueira 94 Lisbon,BANCO BIC PORTUGUES,BP12,-9.18528,38.69956,Alcântara,1,1233.199547,839.4533586,48,0.2558,32,13,9,0,0,5,1,2,3,2,0
Rua Alves Torgo 53 Lisbon,BANCO BPI S.A.,BPI01,-9.13548,38.7337,Arroios,4,2815.60893,227.4302119,42,28.5502,47,12,37,0,0,4,4,3,3,4,0
Rua Pascoal De Melo 7 a Lisbon,BANCO BPI S.A.,BPI02,-9.13546,38.73117,Arroios,4,2943.820823,102.9632987,60,27.0824,45,7,37,0,0,6,4,3,2,4,0
Azinhaga Da Musgueira Lisbon,BANCO BPI S.A.,BPI05,-9.14736,38.77391,Lumiar,12,1323.484871,667.9712786,50,0.1558,35,5,9,0,0,5,1,2,2,2,0
Rua Fialho De Almeida 21D Lisbon,BANCO BPI S.A.,BPI06,-9.15829,38.7344,Campolide,9,1158.604216,153.5875302,36,2.1431,49,16,18,0,0,3,1,4,4,2,0
Rua Borges Carneiro 19 a Lisbon,BANCO BPI S.A.,BPI07,-9.15843,38.71125,Estrela,11,1703.230033,179.2034148,40,12.1719,45,16,18,0,0,4,2,3,4,2,0
Avenida Dom Joao Ii LT 1.05.02 Lisbon,BANCO BPI S.A.,BPI08,-9.09822,38.76605,Parque das Na,16,2293.127247,981.1890764,50,0.1282,36,8,47,0,0,5,1,2,2,5,0
Rua Pascoal De Melo 7 a Lisbon,BANCO BPI S.A.,BPI10,-9.13546,38.73117,Arroios,4,2943.820823,102.9632987,60,27.0824,45,7,37,0,0,6,4,3,2,4,0
Avenida Columbano Bordalo Pinheiro 74 Lisbon,BANCO BPI S.A.,BPI100,-9.16332,38.73865,Avenidas Novas,5,625.4072985,551.6857674,44,19.6764,48,13,9,0,0,4,3,3,3,2,0
Avenida Dom Joao Ii LT 1.05.02 Lisbon,BANCO BPI S.A.,BPI11,-9.09822,38.76605,Parque das Na,16,2293.127247,981.1890764,50,0.1282,36,8,47,0,0,5,1,2,2,5,0
Rua Luis De Camoes 106-C Lisbon,BANCO BPI S.A.,BPI12,-9.18224,38.70349,Alcântara,1,723.0416029,407.3875988,44,24.1571,30,15,18,0,0,4,3,1,4,2,0
Alameda Oceanos 4.29.01 Lisbon,BANCO BPI S.A.,BPI14,-9.09562,38.77871,Parque das Na,16,1234.269627,443.7341427,64,28.5203,42,5,9,0,0,6,4,3,2,2,0
