@relation 'completeData-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-14,16,18,20,22,24-68,70-71-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R3-7'

@attribute mway_dist numeric
@attribute police_dis numeric
@attribute n_freq_attack {0,1}

@data
2958.077164,376.802195,0
3573.927051,246.388056,0
3135.467042,294.579848,0
847.292865,169.952212,0
352.774678,202.129722,0
3247.671185,519.949242,0
1781.615851,626.544283,0
2591.745186,420.479763,0
2075.984463,257.840099,0
657.116762,315.482641,0
1748.903181,448.74363,0
1475.9037,255.530864,0
1748.903181,448.74363,0
775.823973,573.317163,0
2033.003514,466.85652,0
765.838055,831.463581,0
3540.232126,409.476277,0
628.968532,324.025699,0
2201.177267,330.304513,0
2165.826806,166.143157,0
2939.661625,365.224278,0
1722.438809,205.315318,0
505.797737,463.807374,0
628.968532,324.025699,0
1748.903181,448.74363,0
1114.952227,239.214524,0
2531.700276,111.277007,0
1748.903181,448.74363,0
3205.461387,271.894103,0
590.71354,211.542947,0
2914.988696,446.633168,0
2399.199568,245.724546,0
2033.003514,466.85652,0
1496.137877,596.485548,0
2851.328955,422.62341,0
2552.756187,178.989382,0
1633.850658,525.920352,0
728.257466,836.148863,0
3490.358366,66.25679,0
914.44316,707.799487,0
1748.903181,448.74363,0
657.116762,315.482641,0
2185.635327,173.841183,0
1337.241958,848.463898,0
676.242304,851.81637,0
1748.903181,448.74363,0
2200.017073,711.939333,0
628.968532,324.025699,0
775.823973,573.317163,0
1953.739863,95.045889,0
1114.952227,239.214524,0
1542.728921,231.587653,0
2326.868852,302.426952,0
676.242304,851.81637,0
470.402434,301.488027,0
874.513375,602.879873,0
1507.597076,545.281774,0
1114.952227,239.214524,0
1395.419002,273.762013,0
1579.120636,1178.748137,0
958.609606,648.994048,0
1496.137877,596.485548,0
2927.956059,400.842272,0
2428.348726,663.069504,0
3205.461387,271.894103,0
765.838055,831.463581,0
3205.461387,271.894103,0
3818.838892,611.703984,0
1760.984103,316.357462,0
2848.82688,238.847545,0
996.770059,937.121224,0
746.101207,692.314239,0
2033.003514,466.85652,0
2655.845058,381.540609,0
1694.893584,561.020525,0
2921.559071,232.349448,0
2453.212139,623.372426,0
2914.988696,446.633168,0
728.257466,836.148863,0
3490.358366,66.25679,0
1793.706242,280.918973,0
2565.14325,306.594361,0
2008.016425,216.305604,0
3054.880944,415.218655,0
505.797737,463.807374,0
2453.212139,623.372426,0
1748.903181,448.74363,0
3818.838892,611.703984,0
1077.066998,292.403612,0
2033.003514,466.85652,0
1793.706242,280.918973,0
3949.713053,1706.910469,0
1737.856085,562.454493,0
694.53021,486.944844,0
1591.000047,924.353013,0
823.252384,295.422238,0
1349.405865,648.275653,0
1826.660416,241.326858,0
1054.195651,359.99452,0
1226.763909,368.614775,0
597.7935,451.002552,0
977.144619,1172.350612,0
2211.431936,208.681548,0
1156.422142,371.012661,0
1226.763909,368.614775,0
2293.127247,981.189076,0
2155.896964,850.48579,0
1906.932079,727.352012,0
2024.17517,445.711709,0
3218.582026,618.237524,0
2939.661625,365.224278,0
3509.814075,91.196636,0
1349.405865,648.275653,0
3517.881401,104.767392,0
1054.195651,359.99452,0
2155.896964,850.48579,0
1826.660416,241.326858,0
1226.763909,368.614775,0
1906.932079,727.352012,0
1556.004575,604.228691,0
1591.000047,924.353013,0
922.663434,455.072343,0
2086.898417,445.988069,0
2161.643014,518.323739,0
2275.00839,325.959549,0
1929.35973,220.90194,0
1709.168291,424.120359,0
628.993672,230.168974,0
2356.030669,529.322309,0
1843.722696,458.509749,0
1819.660555,357.264014,0
1677.908128,548.630972,0
1790.424437,415.463692,0
626.662552,383.770198,0
2556.578076,641.088691,0
1840.768174,492.041536,0
1761.214626,623.243202,0
2084.797185,44.590278,0
2404.614351,1392.964417,0
1110.523274,498.26631,0
2139.429006,273.417702,0
2161.643014,518.323739,0
756.638254,366.516575,0
